Name,Type,Trip_advisor_ratings,Yellow_page_ratings,Website_link,Directions_link,Menu_link,Total_business_years,Amenities_available,Description,Order_online,Phone_Number,Street_address,locality,Price_range
Butcher & Banker NYC,"['Restaurants', 'Steak Houses', 'American Restaurants']","{""rating"":""4.0"",""count"":""142""}","{'rating': None, 'count': None}",http://www.butcherandbankernyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/butcher-banker-nyc-542203703#open-menu,,,From Business: Beneath the pulsing city lies a hidden dining destination. Steaks from the finest Black Angus cattle. Bespoke cocktails. A restored Bank Vault from the 1930s.…,True,(212) 268-8455,481 8th Ave  Vault Level,"New York City, NY 10001",$$$$
Oceana Restaurant,"['Restaurants', 'Mediterranean Restaurants', 'Seafood Restaurants']","{""rating"":""4.5"",""count"":""1207""}","{'rating': None, 'count': None}",http://www.oceanarestaurant.com,,,39 Years,"['Wheelchair accessible', 'Good for groups']","From Business: Under the guidance of the Livanos family and Co-Owner Paul McLaughlin, Oceana has provided New Yorkers with an exceptional seafood destination since 1992.…",False,(212) 759-5941,120 W 49th Street  Between 6th And 7th Avenue,"New York City, NY 10020",
Sushi Star,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']","{""rating"":""4.5"",""count"":""18""}","{'rating': None, 'count': None}",http://www.sushistar.com,,,,,"From Business: At Sushi Star, we don't compromise. We believe that high quality sushi should be available whether you're on-the-go, dining in, or getting delivery. All of our…",False,(212) 279-1010,462 9th Ave  Between 35th & 36th Street,"New York City, NY 10018",
Down The Road Pub,"['Restaurants', 'American Restaurants']","{""rating"":""4.5"",""count"":""7""}","{'rating': None, 'count': None}",http://downtheroadpub.com,,,,,"From Business: Down The Road Sports Bar is a friendly neighborhood bar welcoming everyone in for a good drink, food and to watch all your sports. We cover everything from MLB…",False,(917) 472-7799,683 9th Ave  Corner Of 47th Street,"New York City, NY 10036",
FIELDTRIP Rockefeller Center,"['Restaurants', 'American Restaurants', 'Health Food Restaurants']","{""rating"":""5.0"",""count"":""1""}","{'rating': None, 'count': None}",http://www.fieldtripnyc.com,,,,,"From Business: FIELDTRIP is a black-owned restaurant in Rockefeller Center, New York City, NY. We offer a sustainable menu of international flavors that was curated by Chef JJ.…",False,(646) 669-8595,30 Rockefeller Plaza  Concourse Level,"New York City, NY 10112",
Morgan Cafe,"['Restaurants', 'American Restaurants']","{""rating"":""4.0"",""count"":""94""}","{'rating': None, 'count': None}",http://www.themorgan.org/visit/dining,,,,,"From Business: The Morgan Dining Room's menu draws inspiration from early-twentieth-century New York City cuisine. Guests dine in the original Morgan family dining room,…",False,(212) 683-2130,225 Madison Ave  The Morgan Library & Museum,"New York City, NY 10016",
T.G.I. Friday's,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']","{""rating"":""2.5"",""count"":""397""}","{'rating': None, 'count': None}",http://www.tgifridays.com,,,,,"From Business: T.G.I. Friday s, founded in 1965, is a chain of full-service restaurants with worldwide locations that offers a variety of specialty food and beverages. It is a…",False,(212) 630-0307,484 8th Ave  34th St,"New York City, NY 10001",
Black Iron Burger,"['Restaurants', 'American Restaurants', 'Bars']","{""rating"":""5.0"",""count"":""2""}","{'rating': None, 'count': None}",http://www.blackironburger.com,,http://www.yellowpages.com/new-york-city-ny/mip/black-iron-burger-551055165#open-menu,,,"From Business: At Black Iron Burger, nobody beats our meat. Crafted in-house with amazing flavors, our commitment is to always use the highest quality, fresh ingredients, and…",False,(646) 747-0814,230 Park Ave  Corner 45th St & Vanderbilt Ave,"New York City, NY 10169",$
Turkuaz Fine Turkish Cuisine,"['Restaurants', 'Mediterranean Restaurants', 'Middle Eastern Restaurants']","{""rating"":""4.0"",""count"":""110""}","{'rating': None, 'count': None}",http://www.turkuazrestaurant.com,,http://www.yellowpages.com/new-york-city-ny/mip/turkuaz-fine-turkish-cuisine-546886683#open-menu,,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']",From Business: Turkuaz takes its name from the turquoise colored sea in Turkey and Mediterranean and brings both a culinary experience and an ethnic one to NYC. We started…,True,(212) 265-5500,310 W 53rd St  Between 8th And 9th Avenues,"New York City, NY 10019",$$
Estiatorio Milos,"['Restaurants', 'Seafood Restaurants', 'Greek Restaurants']","{""rating"":""4.5"",""count"":""95""}","{'rating': None, 'count': None}",http://www.estiatoriomilos.com,,http://www.yellowpages.com/new-york-city-ny/mip/estiatorio-milos-549184556#open-menu,,,From Business: Estiatorio Milos offers its guests a stunning new location in New York City. The Greek restaurant offers unparalleled views of the Hudson River and the Vessel at…,False,(646) 907-1970,20 Hudson Yards  Hudson Yards   5th Floor,"New York City, NY 10001",$$
Osamil,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']","{""rating"":""4.5"",""count"":""72""}","{'rating': None, 'count': None}",http://www.osamil.com,,http://www.yellowpages.com/new-york-city-ny/mip/osamil-530575360#open-menu,,"['Serves alcohol', 'Takes reservations']","From Business: Our name derives from the Korean translation of our address, 5 west 31st street. 5- Oh, 3- Sam, 1-il. The space consists of a large open bar, an open kitchen,…",False,(212) 300-4713,5 W 31st St  1fl. Bet 5th Ave - Broadway,"New York City, NY 10001",$$
Spoon Table and Bar,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.0"",""count"":""77""}","{'rating': None, 'count': None}",http://www.spoonnyc.com,,,,['Takes reservations'],"From Business: Spoon Table & Bar is located in the Murray Hill area. We are a full-service restaurant and bar with an upscale take on comfort food, comprehensive cocktail list,…",False,(646) 230-7000,40 E 33rd St  Between Madison And Park Ave,"New York City, NY 10016",
Puff Cha Cafe,"['Restaurants', 'Thai Restaurants', 'Japanese Restaurants']","{""rating"":""4.5"",""count"":""31""}","{'rating': None, 'count': None}",,,http://www.yellowpages.com/new-york-city-ny/mip/puff-cha-cafe-495351645#open-menu,,['Wheelchair accessible'],"From Business: Puff Cha Ramen brings something new to NYC with homemade curry puffs, the first in the USA! Combined with 20+ kinds of noodles, what's not to enjoy?Curry Puffs…",False,(646) 682-7768,457 50 St  Bet 9ave & 10 Ave,"New York City, NY 10019",$$
North River Lobster Company,"['Restaurants', 'Seafood Restaurants', 'Bars']","{""rating"":""4.0"",""count"":""20""}","{'rating': None, 'count': None}",http://www.northriverlobsterco.com,,http://www.yellowpages.com/new-york-city-ny/mip/north-river-lobster-company-509925830#open-menu,,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","From Business: North River Lobster Company is New York City’s only floating lobster shack, a New York institution since 2014. Located at Pier 81 on West 41st Street and the…",False,(212) 630-8831,Pier 81 West 41st Street And 12th Avenue,"New York City, NY 10036",$$
Seville Car & Limousine Service Corp,"['Restaurants', 'American Restaurants', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""8""}","{'rating': None, 'count': None}",http://www.thesevillenyc.com,,,,,"From Business: The Seville is featuring a special pop-up, offering Scarpetta dinner for reservations only in a socially distanced space. Live music and DJ's Tuesday - Saturday,…",False,(212) 447-7284,22 E 29th St  Located Beneath Scarpetta Restaurant,"New York City, NY 10016",
Angeletto Restaurant,"['Restaurants', 'Continental Restaurants', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""57""}","{'rating': None, 'count': None}",http://www.angeletto.com,,,,,"From Business: Vintage Northern Italian Restaurant, featuring homemade fresh pasta, traditional Roman dishes expertly prepared using the finest ingredients. Fine wines and…",False,(212) 235-1227,890 2nd Ave  47 Street,"New York City, NY 10017",
Il Piccolo Ristoro,"['Restaurants', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""7""}","{'rating': None, 'count': None}",http://www.ilpiccoloristoro.com,,http://www.yellowpages.com/new-york-city-ny/mip/il-piccolo-ristoro-547681306#open-menu,,,"From Business: Piccolo means tiny place in Italian and Ristoro means to restore. So, a tiny place to restore yourself at any hour of the day it what we deserve you will find.…",True,(212) 564-3337,508 W 28th St  High Line Nine   West Chelsea,"New York City, NY 10001",$
Amata,"['Restaurants', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""58""}","{'rating': None, 'count': None}",http://amatanyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/amata-505143105#open-menu,,"['Serves alcohol', 'Takes reservations']","From Business: AMATA is a vibrant yet cozy Italian restaurant serving delicious traditional Italian fare with a modern flair. Located in East Midtown of Manhattan, NYC, Amata…",False,(212) 308-0830,209 E 56th St  Bet. 2nd & 3rd Aves,"New York City, NY 10022",$$$
Grand Banks,"['Restaurants', 'American Restaurants', 'Seafood Restaurants']","{""rating"":""4.0"",""count"":""179""}","{'rating': None, 'count': None}",http://www.grandbanks.nyc,,,,,"From Business: Grand Banks is a celebrated oyster bar aboard the historic wooden schooner, Sherman Zwicker. Inspired by the floating oyster barges that lined Manhattan's…",False,(212) 660-6312,Pier 25  Hudson River Park,"New York City, NY 10013",
Inside Park at St. Bart's,"['Restaurants', 'American Restaurants']","{""rating"":""4.0"",""count"":""237""}","{'rating': None, 'count': None}",http://www.insideparknyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/inside-park-at-st-barts-480288565#open-menu,,"['Offers outdoor seating', 'Serves alcohol', 'Takes reservations']","From Business: Caf St. Bart s offers a wide range of dining services. It has various facilities, such as the Great Hall, outdoor restaurants and private dining areas. The…",False,(212) 593-3333,109 East 50th St On Park Avenue,"New York City, NY 10022",$$$
Patsy's Pizzeria,"['Restaurants', 'Italian Restaurants', 'Pizza']","{""rating"":""4.0"",""count"":""240""}","{'rating': None, 'count': None}",https://www.patsyspizzerianyc.com/?y_source=1_MTAxNzI1MDUxNy03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,"From Business: In the early 1900's, working in the Salumerias of Little Italy, Pasquale ""Patsy"" Lancieri perfected New York Style Pizza. In 1933, he opened the city's first…",False,(212) 688-9707,206 E 60th St  2nd & 3rd Ave,"New York City, NY 10022",
Burger and Lobster,"['Restaurants', 'Hamburgers & Hot Dogs', 'Seafood Restaurants']","{""rating"":""4.5"",""count"":""1102""}","{'rating': None, 'count': None}",http://www.burgerandlobster.com,,,12 Years,"['Wheelchair accessible', 'Serves alcohol', 'Good for families']",From Business: We focus our energy on making two products the absolute best they can be without any other distractions. We’re obsessed with refining our techniques to…,False,(646) 833-7532,39 W 19th St  Between Fifth & 6th Avenues,"New York City, NY 10011",$$
Park Avenue Autumn/Winter/Spring/Summer,"['Restaurants', 'American Restaurants']","{""rating"":""4.0"",""count"":""561""}","{'rating': None, 'count': None}",http://parkavenyc.com,,,,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']",From Business: The historic Park Avenue Autumn/Winter/Spring/Summer that enjoyed a 22-year run on the Upper East Side has moved south to Gramercy Park under restaurateur…,False,(212) 951-7111,360 Park Ave S.  At 26th St,"New York City, NY 10010",$$$
Mexico Lindo Restaurant,"['Restaurants', 'Latin American Restaurants', 'Family Style Restaurants']","{""rating"":""4.0"",""count"":""75""}","{'rating': None, 'count': None}",http://www.mexicolindonyc.com,,,51 Years,,From Business: Mexico Lindo Restaurant was opened in May of 1972 by Antonio & Leonor Bonilla. With Leonor's traditional Mexican upbringing and Antonio's restaurant experience;…,False,(212) 679-3665,459 2nd Ave  Corner Of 26th Street,"New York City, NY 10010",
Bocce USQ,"['Restaurants', 'Italian Restaurants', 'Bars']","{""rating"":""4.5"",""count"":""19""}","{'rating': None, 'count': None}",http://bocceunionsquare.com,,http://www.yellowpages.com/new-york-city-ny/mip/bocce-usq-545321448#open-menu,,,"From Business: Bocce Union Square is the NYC backyard we never had but always wanted. Located in the heart of Union Square Park, it's a place for our neighbors to escape, be…",True,(212) 677-7818,20 Union Square W  Union Square Park North,"New York City, NY 10003",
Three Owls Market,"['Restaurants', 'American Restaurants', 'Italian Restaurants']","{""rating"":""2.5"",""count"":""3""}","{'rating': None, 'count': None}",http://www.threeowlsmarket.com,,,,,"From Business: Inspired by European markets as well as local New York delis, and housed in a historic space underneath the original High Line tracks, Three Owls Market is an…",True,(917) 810-4891,800 Washington St  At The Corner Of Horatio Street,"New York City, NY 10014",
BLT Prime,"['Restaurants', 'American Restaurants', 'Steak Houses']","{""rating"":""4.0"",""count"":""33""}","{'rating': None, 'count': None}",http://www.bltrestaurants.com/location/blt-prime-new-york,,,,,From Business: BLT Prime's Upper East Side location has an expanded menu featuring signature BLT standouts such as a selection of USDA Prime and 100% Naturally Raised Certified…,False,(212) 995-8500,1032 Lexington Ave  Bet. East 73rd And East 74th St,"New York City, NY 10021",
The Spaniard,"['Restaurants', 'American Restaurants', 'Bars']","{""rating"":""4.0"",""count"":""47""}","{'rating': None, 'count': None}",http://www.thespaniardnyc.com,,,,,"From Business: Opened in 2017, The Spaniard is a West Village bar serving fine food, strong drinks and plentiful whiskey, inspired by classic New York bars like Keens, Old Town…",False,(212) 918-1986,190 W 4th St  Closest Subways: West 4th Or Christopher St 1,"New York City, NY 10014",
Bar Pisellino,"['Restaurants', 'Italian Restaurants', 'Continental Restaurants']","{""rating"":""4.0"",""count"":""19""}","{'rating': None, 'count': None}",http://www.barpisellino.com,,http://www.yellowpages.com/new-york-city-ny/mip/bar-pisellino-549546811#open-menu,,,"From Business: Just off Christopher Park, in the heart of the West Village, award-winning chefs Rita Sodi and Jody Williams share the arte del bere at Bar Pisellino. Pisellino…",False,(347) 859-7624,52 Grove Street  At 7th Avenue South,"New York City, NY 10014",$$
The Mary Lane,"['Restaurants', 'American Restaurants', 'Bars']","{""rating"":""4.5"",""count"":""12""}","{'rating': None, 'count': None}",https://www.themarylanenyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/the-mary-lane-563734875#open-menu,,,"From Business: Located on the cobblestone corner of Bank and Greenwich Streets in the West Village, The Mary Lane at 99 Bank St is a seasonal New American neighborhood…",False,(212) 597-9099,99 Bank St.  At The Corner Of Greenwich St.,"New York City, NY 10014",$$
Marcellino Restaurant,"['Restaurants', 'Italian Restaurants', 'Pizza']","{""rating"":""4.5"",""count"":""3""}","{'rating': None, 'count': None}",https://marcellinorestaurant.com,,http://www.yellowpages.com/new-york-city-ny/mip/marcellino-restaurant-549180984#open-menu,,,From Business: Wood-fired Italian cuisine made using family recipes is served in a classic space.Wood-fired Italian cuisine made using family recipes is served in a classic…,False,(646) 998-4576,178 Mulberry Street   New York   Ny  Street Corner,"New York City, NY 10012",$$$
Tiramisu Restaurant,"['Restaurants', 'Italian Restaurants', 'Family Style Restaurants']","{""rating"":""4.0"",""count"":""77""}","{'rating': None, 'count': None}",http://tiramisunyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/tiramisu-restaurant-8294772#open-menu,,,From Business: Brick-oven pizzas & Italian staples in a family-friendly setting with seasonal outdoor seating. Open daily 12pm - 10pm We fully comply with all NYC Covid-19…,True,(212) 988-9780,80th Street & Third Ave - 1410 Third Avenue,"New York City, NY 10028",$$
La Pulperia Ues,"['Restaurants', 'Latin American Restaurants', 'Caterers']","{""rating"":""4.0"",""count"":""74""}","{'rating': None, 'count': None}",http://www.lapulperianyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/la-pulperia-ues-503034525#open-menu,9 Years,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","From Business: La Pulperia, a restaurant featuring Rustic Latin Cuisine from Chef/Owner Carlos Barroz and Victor Medina, opened September 15, 2014, at 1626 Second Avenue. Named…",False,(212) 933-0757,1626 2nd Ave  Between 84th & 85th Streets,"New York City, NY 10028",$$
Sushi Dojo NYC Noodle House,"['Restaurants', 'Japanese Restaurants']","{""rating"":""5.0"",""count"":""1""}","{'rating': None, 'count': None}",,,http://www.yellowpages.com/new-york-city-ny/mip/sushi-dojo-nyc-noodle-house-533411488#open-menu,,,"From Business: Formally Dojo Izakaya, its been changed to Sushi Dojo NYC Noodle House specializing in Udon noodles and broth, and Ramen. WIth beer and saki, this intimate spot…",False,(212) 253-5311,38 Avenue B  At The Corner Of 3rd Street,"New York City, NY 10009",$$
Local 138,"['Restaurants', 'Italian Restaurants', 'Bars']","{""rating"":""5.0"",""count"":""3""}","{'rating': None, 'count': None}",,,http://www.yellowpages.com/new-york-city-ny/mip/local-138-491490#open-menu,22 Years,,"From Business: Mediterranean-Italian Tapas Restaurant & Mixology Bar Located at : 244 Mulberry St, New York, Ny, 10012(Between Spring & Prince Street)Mediterranean-Italian…",True,(212) 477-0280,244 Mulberry St  Between Spring & Prince,"New York City, NY 10012",$$
Bella Luna,"['Restaurants', 'Continental Restaurants', 'Italian Restaurants']","{""rating"":""4.0"",""count"":""173""}","{'rating': None, 'count': None}",,,http://www.yellowpages.com/new-york-city-ny/mip/bella-luna-15999956#open-menu,,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']",From Business: Bella Luna open since 1988 is a friendly neighborhood restaurant offering quality Northern Italian fare in a welcoming and comfortable atmosphere.Bella Luna open…,True,(212) 877-2267,574 Columbus Ave  Sw Corner Of 88th St And Columbus Ave,"New York City, NY 10024",$$
Bice Cucina Soho,"['Restaurants', 'Italian Restaurants']","{""rating"":""1.0"",""count"":""1""}","{'rating': None, 'count': None}",http://www.bicecucina.com,,http://www.yellowpages.com/new-york-city-ny/mip/bice-cucina-soho-563436543#open-menu,,,"From Business: Bice Cucina specializes in delicious fine, Italian dining in Soho Manhattan. Established in 1926, Bice is among the busiest and most renowned Northern Italian…",False,(646) 609-6530,15 Watts Street New York,"New York City, NY 10013",$$$
Sal's Little Italy,"['Restaurants', 'Italian Restaurants', 'Pizza']","{""rating"":""4.0"",""count"":""288""}","{'rating': None, 'count': None}",,,http://www.yellowpages.com/new-york-city-ny/mip/sals-little-italy-480198098#open-menu,46 Years,,"From Business: Since 1982, Sal's Little Italy has remained same family owned and operated and well known as the home of the famous deep fried calzone. Our family also proudly…",True,(212) 925-0440,384 Broome St  Corner Of Mulberry Street,"New York City, NY 10013",$$
"Izzies Cheesesteaks, Lower East Side","['Restaurants', 'American Restaurants']",,"{'rating': None, 'count': None}",http://www.izziesnyc.com,,http://www.yellowpages.com/new-york-city-ny/mip/izzies-cheesesteaks-lower-east-side-545737339#open-menu,,,"From Business: Izzie's Cheesesteaks specializes in creating an authentic Philly inspired cheesesteak made in New York. Izzie's offers a variety of fan foods including burgers,…",True,(646) 850-8636,47 Clinton St.  Between Rivington & Stanton Streets.,"New York City, NY 10002",$
Juicy Spot Cafe,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""16""}","{'rating': None, 'count': None}",http://www.juicyspotcafe.com,,,,"['Wheelchair accessible', 'Has Wifi']","From Business: Experience fresh made ice cream rolls, right before your eyes! Large variety of fresh fruit options for your ice cream rolls, yogurt rolls, smoothies, Acai…",False,(212) 933-0478,109 Ludlow St  Between Delancy And Rivington Street,"New York City, NY 10002",$
Casa D'Angelo,"['Restaurants', 'Italian Restaurants']","{""rating"":""4.0"",""count"":""718""}","{'rating': None, 'count': None}",http://www.cangelomulberry.com,,http://www.yellowpages.com/new-york-city-ny/mip/casa-dangelo-567173110#open-menu,,,"From Business: Welcome to Casa D'Angelo authentic Italian restaurant in the heart of Little Italy, New York City! Our restaurant is a family-owned and operated establishment…",False,(212) 804-8656,146 Mulberry Street  Between Hester & Grand Sts,"New York City, NY 10013",$$$
Buddha-Bar New York,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']","{""rating"":""4.0"",""count"":""16""}","{'rating': None, 'count': None}",http://www.buddhabarnewyork.com,,,,,From Business: Buddha-Bar restaurant New York brings a cosmopolitan experience and energy to New York City’s downtown TriBeCa neighborhood with a fresh take on Asian Fusion…,False,(212) 256-0360,62 Thomas St  Thomas Street Between Church And West Broadway,"New York City, NY 10013",
Malibu Farm New York,"['Restaurants', 'American Restaurants', 'Bars']","{""rating"":""3.5"",""count"":""31""}","{'rating': None, 'count': None}",http://www.malibufarm.nyc,,http://www.yellowpages.com/new-york-city-ny/mip/malibu-farm-new-york-553189263#open-menu,,,"From Business: Like all the best things in life, Malibu Farm started small and grew organically—just like the food we like to eat and serve. Our founder, Chef Helene Henderson,…",True,(212) 265-3030,89 South St  North Side Of Pier 17 In The Seaport,"New York City, NY 10038",$$$
Wasabi Sushi & Bento,"['Restaurants', 'Sushi Bars', 'Caterers']",,"{'rating': None, 'count': None}",https://wasabi.uk.com,,,,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi']",From Business: - Temporarily closed- Temporarily closed,False,(917) 409-5238,200 Broadway  The Fulton Center,"New York City, NY 10038",
Kuu,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']","{""rating"":""4.5"",""count"":""237""}","{'rating': None, 'count': None}",https://www.kuuramen.com,,http://www.yellowpages.com/new-york-city-ny/mip/kuu-505341676#open-menu,,['Serves alcohol'],"From Business: Well-known among New Yorkers, Kuu Ramen is a Japanese ramen restaurant serving ramen, curry rice, and many izakaya-style small plates located in the heart of the…",True,(212) 571-7177,20 John St  Near Wall Street And Fulton St Subway,"New York City, NY 10038",$$
Thai Farm Kitchen Seaport,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']","{""rating"":""4.5"",""count"":""7""}","{'rating': None, 'count': None}",http://thaifarmkitchenseaport.com,,http://www.yellowpages.com/new-york-city-ny/mip/thai-farm-kitchen-seaport-556543847#open-menu,,,"From Business: We have heated outdoor patios! Located in the historic district of South Street Seaport in Manhattan, on the corner of Peck Slip and Water Street, THAI Farm…",False,(212) 349-4433,21 Peck Slip  Seaport,"New York City, NY 10038",$$
Fresh Salt,"['Restaurants', 'American Restaurants', 'Bar & Grills']","{""rating"":""4.0"",""count"":""91""}","{'rating': None, 'count': None}",http://www.freshsalt.com/contact,,,,,"From Business: Local bar with light food located in the heart of the South Street Seaport, happy hour everyday 4-8pm.Local bar with light food located in the heart of the South…",False,(212) 962-0053,146 Beekman St  Frnt St,"New York City, NY 10038",
Wuish Kitchen & Bar,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']","{""rating"":""4.0"",""count"":""5""}","{'rating': None, 'count': None}",http://goldenwuish.com,,http://www.yellowpages.com/new-york-city-ny/mip/wuish-kitchen-bar-566265372#open-menu,,,From Business: Elegant Chinese restaurant situated in the heart of the Financial District in New York City. Gather around the table to enjoy banquet style Chinese cuisine and…,True,(212) 273-9296,6 Platt Stfinancial Distric Four Point Sheraton Hotel,"New York City, NY 10038",$$$$
Spaha Soul,"['Restaurants', 'Soul Food Restaurants', 'Take Out Restaurants']","{""rating"":""5.0"",""count"":""9""}","{'rating': None, 'count': None}",http://www.spahasoul.com,,http://www.yellowpages.com/new-york-city-ny/mip/spaha-soul-481582013#open-menu,,"['Has Wifi', 'Takes reservations']",From Business: SpaHa Soul is like dining in our house. Whether your in a large group or an intimate setting. We treat every guest like family. Southern Fusion with a very down…,True,(347) 463-7387,2294 2nd Ave  Between 117th-118th Street,"New York City, NY 10035",$$
