Name,Type,Trip_advisor_ratings,Yellow_page_ratings,Website_link,Directions_link,Menu_link,Total_business_years,Amenities_available,Description,Order_online,Phone_Number,Street_address,locality,Price_range
Amalfi Restaurant and Bar,"['Restaurants', 'Pizza', 'Italian Restaurants']",,"{'rating': 'four and half', 'count': '5'}",http://www.amalfiristorante.com,,http://www.yellowpages.com/los-angeles-ca/mip/amalfi-restaurant-and-bar-474266529#open-menu,31 Years,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol']","#kid friendly#friendly staff""",True,(323) 938-2504,143 N la Brea Ave,"Los Angeles, CA 90036",$$
The Boiling Crab,"['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets']","{""rating"":""4.5"",""count"":""268""}","{'rating': 'four', 'count': '5'}",http://www.theboilingcrab.com,,http://www.yellowpages.com/los-angeles-ca/mip/the-boiling-crab-461549610#open-menu,23 Years,"['Wheelchair accessible', 'Serves alcohol']","Great place for family! I really love the eating experience here. Try their combination sauce and you won't regret it!""",True,(213) 389-2722,3377 Wilshire Blvd Ste 115,"Los Angeles, CA 90010",$$
The Main Course,"['Restaurants', 'Health Food Restaurants', 'Family Style Restaurants']","{""rating"":""4.0"",""count"":""15""}","{'rating': 'four', 'count': '3'}",http://www.themaincourse.biz,,http://www.yellowpages.com/los-angeles-ca/mip/the-main-course-9633827#open-menu,37 Years,"['Wheelchair accessible', 'Has Wifi', 'Takes reservations']","#good food#good ambiance#friendly staff""",True,(310) 475-7564,10509 W Pico Blvd,"Los Angeles, CA 90064",$$
The Cellar,"['Restaurants', 'American Restaurants', 'Bars']",,"{'rating': 'three and half', 'count': '2'}",http://thecellarbarandgrill.com,,http://www.yellowpages.com/los-angeles-ca/mip/the-cellar-5680820#open-menu,37 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","Very nice restaurant.#good food""",True,(310) 277-1584,1880 Century Park E Ste 102,"Los Angeles, CA 90067",$$
Rocco's Italian Kitchen,"['Restaurants', 'Pizza', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""64""}","{'rating': 'four and half', 'count': '13'}",http://www.roccospizza.la,,http://www.yellowpages.com/los-angeles-ca/mip/roccos-italian-kitchen-458023002#open-menu,22 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations', 'Good for families']","Went for a weekday lunch. Had a pasta entree and pizza for the table. The service, wine by the glass and food was fantastic. Can’t wait to come back""",True,(323) 655-0058,6335 Wilshire Blvd,"Los Angeles, CA 90048",$
Fathers Office,"['Restaurants', 'American Restaurants', 'Bars']","{""rating"":""4.0"",""count"":""171""}","{'rating': 'four', 'count': '6'}",http://fathersoffice.com,,http://www.yellowpages.com/los-angeles-ca/mip/fathers-office-434632#open-menu,16 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","Very good service #highly recommended""",False,(310) 736-2224,3229 Helms Ave,"Los Angeles, CA 90034",$$
Aki Restaurant,"['Restaurants', 'Japanese Restaurants', 'Family Style Restaurants']","{""rating"":""4.5"",""count"":""9""}","{'rating': 'four', 'count': '4'}",,,http://www.yellowpages.com/los-angeles-ca/mip/aki-restaurant-4064839#open-menu,,"['Wheelchair accessible', 'Serves alcohol']",Been going there over 20 years great then great now golden dinner is my favoriteSushi is the best go early dont have to wait plenty of free parking at B of A lot behind…,True,(310) 479-8406,11513 Santa Monica Blvd,"Los Angeles, CA 90025",$$
Sor Tino,"['Restaurants', 'Italian Restaurants', 'Caterers']","{""rating"":""4.0"",""count"":""39""}","{'rating': 'five', 'count': '2'}",http://www.sortinorestaurant.com,,http://www.yellowpages.com/los-angeles-ca/mip/sor-tino-8253783#open-menu,19 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","Excellent Italian food.  Less crowded than all the other San Vicente Italians because of its location. Pricey but great quality.""",True,(310) 442-8466,908 S Barrington Ave,"Los Angeles, CA 90049",$$$
Pipers Restaurant,"['Restaurants', 'American Restaurants', 'Family Style Restaurants']","{""rating"":""4.0"",""count"":""9""}","{'rating': 'five', 'count': '1'}",,,http://www.yellowpages.com/los-angeles-ca/mip/pipers-restaurant-526598#open-menu,39 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol']","It's hard to find 24 hour American restaurant in Los Angeles. Especially around Koreatown. When I feel like grabbing good old American style meal, I always go to Pipers. Food…",True,(323) 465-7701,222 N Western Ave,"Los Angeles, CA 90004",$$
Post & Beam,"['Restaurants', 'American Restaurants', 'Soul Food Restaurants']","{""rating"":""4.5"",""count"":""60""}","{'rating': 'four', 'count': '1'}",http://www.postandbeamla.com,,http://www.yellowpages.com/los-angeles-ca/mip/post-beam-465349262#open-menu,,['Serves alcohol'],"#good food#reasonable prices#good ambiance""",False,(323) 299-5599,3767 Santa Rosalia Dr,"Los Angeles, CA 90008",$$
Tamayo,"['Restaurants', 'Latin American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""53""}","{'rating': 'four', 'count': '1'}",https://www.la-tamayo.com/contact,,http://www.yellowpages.com/los-angeles-ca/mip/tamayo-999177#open-menu,35 Years,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","#highly recommended#good food#good ambiance#friendly staff""",True,(323) 260-4700,5300 E Olympic Blvd,"Los Angeles, CA 90022",$$
Humble Potato,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""42""}","{'rating': 'four', 'count': '1'}",http://www.humblepotato.com,,http://www.yellowpages.com/los-angeles-ca/mip/humble-potato-475552519#open-menu,11 Years,['Wheelchair accessible'],"Good tasty food but a bit over priced. If they lowered everything on the menu by 2 bucks, that would be on par.""",True,(323) 989-2242,8321 Lincoln Blvd,"Los Angeles, CA 90045",$$
Cork Bar & Grill Restaurant,"['Restaurants', 'Pizza', 'Bars']",,"{'rating': 'three', 'count': '1'}",https://corkboards.com,,,29 Years,['Serves alcohol'],"This is an excellent bar to go and just chill.  Get there early.  Mature adults only.""",False,(323) 731-2030,4771 W Adams Blvd,"Los Angeles, CA 90016",$$
Angelini Osteria,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']","{""rating"":""4.5"",""count"":""523""}","{'rating': 'four and half', 'count': '14'}",https://www.angelinirestaurantgroup.com,,http://www.yellowpages.com/los-angeles-ca/mip/angelini-osteria-5394368#open-menu,22 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","#good food #good ambiance""",True,(323) 297-0070,7313 Beverly Blvd,"Los Angeles, CA 90036",$$$
Carlitos Gardel Restaurant,"['Restaurants', 'Family Style Restaurants', 'Latin American Restaurants']","{""rating"":""4.5"",""count"":""227""}","{'rating': 'five', 'count': '8'}",http://www.carlitosgardel.com,,http://www.yellowpages.com/los-angeles-ca/mip/carlitos-gardel-restaurant-4621357#open-menu,26 Years,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations', 'Good for families']","#good ambiance #good food""",True,(323) 655-0891,7963 Melrose Ave,"Los Angeles, CA 90046",$$$
Vincenti Restaurant,"['Restaurants', 'Family Style Restaurants', 'Caterers']",,"{'rating': 'four and half', 'count': '5'}",http://www.vincentiristorante.com,,http://www.yellowpages.com/los-angeles-ca/mip/vincenti-restaurant-1188109#open-menu,26 Years,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","#good ambiance #reasonable prices""",True,(310) 207-0127,11930 San Vicente Blvd,"Los Angeles, CA 90049",$$$
The Stand - American Classics Redefined,"['Restaurants', 'Mexican Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""12""}","{'rating': 'four', 'count': '2'}",https://www.thestand.com/?y_source=1_MTI2NDE5MzktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,,http://www.yellowpages.com/los-angeles-ca/mip/the-stand-american-classics-redefined-461776874#open-menu,20 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","#good food#good ambiance#friendly staff""",True,(310) 785-0400,2000 Avenue Of The Stars,"Los Angeles, CA 90067",$$
The Factory Kitchen,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']","{""rating"":""4.5"",""count"":""269""}","{'rating': 'five', 'count': '2'}",http://www.thefactorykitchen.com,,http://www.yellowpages.com/los-angeles-ca/mip/the-factory-kitchen-481826217#open-menu,,"['Has Wifi', 'Serves alcohol', 'Takes reservations']","Two words: Prosciutto doughnuts. Well, okay, they're not really called ""doughnuts"" on the menu, but they may as well be: Fried doughy goodness with prosciutto and crispy sage.…",True,(213) 996-6000,1300 Factory Pl Ste 101,"Los Angeles, CA 90013",$$$
Redbird,"['Restaurants', 'American Restaurants', 'Cocktail Lounges']","{""rating"":""4.5"",""count"":""273""}","{'rating': 'four', 'count': '1'}",http://www.redbird.la,,http://www.yellowpages.com/los-angeles-ca/mip/redbird-507741696#open-menu,15 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","nice ambiance. great cocktails. good food.""",False,(213) 788-1191,114 E 2nd St,"Los Angeles, CA 90012",$$$
Truxton's American Bistro,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""270""}","{'rating': 'three', 'count': '2'}",http://www.truxtonsamericanbistro.com,,http://www.yellowpages.com/los-angeles-ca/mip/truxtons-american-bistro-2374556#open-menu,18 Years,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']",Salads are very fresh and portions are more than enough.  Small but adequate room.  Frequented by locals and airport people (LAX).  Parking is challenging may have to walk a…,True,(310) 417-8789,8611 Truxton Ave,"Los Angeles, CA 90045",$$
Daikokuya - Sawtelle,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']","{""rating"":""4.5"",""count"":""274""}","{'rating': 'three', 'count': '1'}",https://group.bishamon-ten.com/daikokuya/sawtelle,,http://www.yellowpages.com/los-angeles-ca/mip/daikokuya-sawtelle-480243187#open-menu,,['Serves alcohol'],"Great ramen and service, but the line was too long. I waited about an hour just to get a bowl of ramen. I'm not sure if it's that worth it.""",True,(310) 575-4999,2208 Sawtelle Blvd,"Los Angeles, CA 90064",$$
Crossroads Kitchen,"['Restaurants', 'Mediterranean Restaurants', 'Vegan Restaurants']","{""rating"":""4.5"",""count"":""330""}","{'rating': None, 'count': None}",http://www.crossroadskitchen.com,,http://www.yellowpages.com/los-angeles-ca/mip/crossroads-kitchen-480196385#open-menu,10 Years,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']",,True,(323) 782-9245,8284 Melrose Ave,"Los Angeles, CA 90046",$$$
Monsieur Marcel,"['Restaurants', 'Continental Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""263""}","{'rating': None, 'count': None}",http://www.mrmarcel.com,,,12 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","From Business: Monsieur Marcel Gourmet Market, Restaurant and Seafood Market is a family-owned French-inspired restaurant, seafood market and specialty food store with a…",True,(323) 939-7792,6333 W 3rd St,"Los Angeles, CA 90036",$$
Cabana Restaurant,"['Restaurants', 'Italian Restaurants', 'Bars']","{""rating"":""4.5"",""count"":""305""}","{'rating': 'four', 'count': '1'}",http://www.culinarestaurant.com,,http://www.yellowpages.com/los-angeles-ca/mip/cabana-restaurant-456841664#open-menu,12 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol', 'Takes reservations']",What more can you ask for? I thought the food was amazing and it's a great place for a nice evening out with friends or loved ones. Loved their bread with olive oil and their…,False,(310) 860-4000,300 S Doheny Dr,"Los Angeles, CA 90048",$$$$
Si Laa,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']","{""rating"":""5.0"",""count"":""69""}","{'rating': None, 'count': None}",http://silaathai.com,,http://www.yellowpages.com/los-angeles-ca/mip/si-laa-22674318#open-menu,14 Years,"['Serves alcohol', 'Takes reservations']",,False,(310) 858-7738,1128 S Robertson Blvd,"Los Angeles, CA 90035",$$
The Tower Bar,"['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants']","{""rating"":""4.5"",""count"":""327""}","{'rating': None, 'count': None}",http://www.sunsettowerhotel.com,,http://www.yellowpages.com/los-angeles-ca/mip/the-tower-bar-478674536#open-menu,94 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']",From Business: The famous Sunset Tower Hotel has undergone its first major renovation since the 1980's. The Tower bar Restaurant is now located adjacent to the newly designed…,False,(323) 848-6677,8358 W Sunset Blvd,"Los Angeles, CA 90069",$$$
Westin,"['Restaurants', 'Steak Houses', 'Bars']","{""rating"":""4.0"",""count"":""3531""}","{'rating': 'five', 'count': '1'}",http://www.thebonaventure.com,,,41 Years,"['Offers outdoor seating', 'Good for groups', 'Has Wifi', 'Serves alcohol', 'Good for families']","Beautiful, elegant establishment. This is a special date night, special occasion or a work dinner type of place. It is expensive but the food is perfect. Service is excellent. …",False,(213) 624-1000,404 S Figueroa St,"Los Angeles, CA 90071",
The Ivy,"['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants']","{""rating"":""4.0"",""count"":""2174""}","{'rating': 'four', 'count': '3'}",http://www.theivyrestaurants.com,,http://www.yellowpages.com/los-angeles-ca/mip/the-ivy-3058093#open-menu,38 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","Great food and excellent place to spot Hollywood celebs. It's a bit pricey for what it is but you can always count on a great meal at this LA standard.""",False,(310) 274-8303,113 N Robertson Blvd,"Los Angeles, CA 90048",$$$
Mel's Drive In,"['Restaurants', 'Breakfast, Brunch & Lunch Restaurants', 'Hamburgers & Hot Dogs']","{""rating"":""4.0"",""count"":""1037""}","{'rating': 'two and half', 'count': '2'}",http://www.melsdrive-in.com,,http://www.yellowpages.com/los-angeles-ca/mip/mels-drive-in-460446887#open-menu,,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","I really liked their burger but the place was so freaking cold i almost got sick lol. i like the positive energy of that place""",True,(323) 465-2111,1650 N Highland Ave,"Los Angeles, CA 90028",$$
Hard Rock Cafe,"['Restaurants', 'American Restaurants', 'Hamburgers & Hot Dogs']","{""rating"":""4.0"",""count"":""2538""}","{'rating': 'five', 'count': '1'}",http://www.hardrock.com,,http://www.yellowpages.com/los-angeles-ca/mip/hard-rock-cafe-457138193#open-menu,52 Years,"['Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol']","Great atmosphere with TVs everywhere playing music videos, memorabilia all over the walls and great lighting. I had the southwest chicken flatbread and it was one of the best…",True,(323) 464-7625,6801 Hollywood Blvd,"Los Angeles, CA 90028",$$
The Palm - L.A. Downtown,"['Restaurants', 'Steak Houses', 'Take Out Restaurants']","{""rating"":""4.5"",""count"":""257""}","{'rating': None, 'count': None}",https://www.thepalm.com/location/the-palm-los-angeles,,http://www.yellowpages.com/los-angeles-ca/mip/the-palm-l-a-downtown-545154077#open-menu,97 Years,,"From Business: Wherever you join us, The Palm will always feel like home. Known as the go-to place for great steaks, craft cocktails and fresh jumbo lump Nova Scotia Lobster…",True,(213) 763-4600,1100 S Flower St,"Los Angeles, CA 90015",$$$$
A.O.C.,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""455""}","{'rating': None, 'count': None}",http://www.aocwinebar.com,,http://www.yellowpages.com/los-angeles-ca/mip/a-o-c-475694906#open-menu,21 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']",From Business: Restaurant and Wine Bar,True,(310) 859-9859,8700 W 3rd St,"Los Angeles, CA 90048",$$
Barton G. The Restaurant Los Angeles,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""240""}","{'rating': 'five', 'count': '2'}",http://www.bartong.com,,http://www.yellowpages.com/los-angeles-ca/mip/barton-g-the-restaurant-los-angeles-478300912#open-menu,,"['Offers outdoor seating', 'Serves alcohol', 'Takes reservations']",Wow! the presentation of each and each item on the menu is simply amazing! I tied to budalicious cocktail and the turf and surf plate which was a combination of shrimp and a…,False,(310) 388-1888,861 N La Cienega Blvd,"Los Angeles, CA 90069",$$$
Genwa Korean BBQ,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']","{""rating"":""4.5"",""count"":""198""}","{'rating': 'five', 'count': '2'}",http://genwakoreanbbq.com,,http://www.yellowpages.com/los-angeles-ca/mip/genwa-korean-bbq-135379#open-menu,16 Years,['Serves alcohol'],awesome place for kbbq. had a big group for a bday dinner and we got 2 rounds of shots and dessert on the house. great fun staff! it's definitely a bit more expensive but you…,True,(323) 549-0760,5115 Wilshire Blvd,"Los Angeles, CA 90036",
Los Angeles Airport Marriott,"['Restaurants', 'Steak Houses', 'Bars']","{""rating"":""4.0"",""count"":""3479""}","{'rating': 'four', 'count': '1'}",http://www.marriott.com/hotels/hotel-information/restaurant/laxap-los-angeles-airport-marriott,,,50 Years,"['Has Wifi', 'Serves alcohol']","I use this hotel frequently.  Its always great friendly service, very clean and reasonable.  I don't get the bad write ups.  This is a regular place for me and its always…",False,(310) 641-5700,5855 W Century Blvd,"Los Angeles, CA 90045",$$
JW Steakhouse,"['Restaurants', 'Steak Houses', 'American Restaurants']","{""rating"":""4.5"",""count"":""221""}","{'rating': None, 'count': None}",https://www.marriott.com/en-us/hotels/laxap-los-angeles-airport-marriott/dining/jws-steakhouse/?y_source=1_MjYwMTIxNjgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,,http://www.yellowpages.com/los-angeles-ca/mip/jw-steakhouse-562120567#open-menu,,,"From Business: Indulge in diverse and delectable fare at JW Steakhouse. Enjoy made-to-order, locally sourced steaks and fresh, sustainable seafood at our signature restaurant…",False,(310) 641-5700,5855 W Century Blvd,"Los Angeles, CA 90045",$$$$
Carney's Restaurant,"['Restaurants', 'Take Out Restaurants', 'Hamburgers & Hot Dogs']","{""rating"":""4.5"",""count"":""517""}","{'rating': None, 'count': None}",http://www.carneytrain.com,,,47 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']",,False,(323) 654-8300,8351 W Sunset Blvd,"Los Angeles, CA 90069",
Pann's Restaurant,"['Restaurants', 'Coffee & Espresso Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""221""}","{'rating': 'four and half', 'count': '4'}",https://www.panns.com,,,13 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Good for families']","This a great little family restaurant. Breakfast is served all day long. Generous helpings, cute spot.""",False,(310) 670-1441,6710 La Tijera Blvd,"Los Angeles, CA 90045",
Faith & Flower,"['Restaurants', 'American Restaurants']","{""rating"":""4.5"",""count"":""262""}","{'rating': 'four', 'count': '1'}",http://www.faithandflowerla.com,,http://www.yellowpages.com/los-angeles-ca/mip/faith-flower-481279690#open-menu,46 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","Service was warm and attentive. Loud inside as all surfaces are hard. Good looking space although I am not a fan of banquet seating.Food average, nothing much original, some…",False,(213) 239-0642,705 W 9th St,"Los Angeles, CA 90015",$
Sushi Gen,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']","{""rating"":""4.5"",""count"":""484""}","{'rating': 'four and half', 'count': '6'}",http://sushigen.org,,http://www.yellowpages.com/los-angeles-ca/mip/sushi-gen-11976395#open-menu,43 Years,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","I tasted like a real Japanese shushi! Top notched taste and the price is very affordable. It's a must try for sushi lover.""",True,(213) 617-0552,422 E 2nd St,"Los Angeles, CA 90012",$$
Palermo Ristorante Italiano,"['Restaurants', 'Pizza', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""135""}","{'rating': 'four and half', 'count': '44'}",http://palermorestaurant.net,http://www.yellowpages.com/listings/1001234798248/directions,http://www.yellowpages.com/los-angeles-ca/mip/palermo-ristorante-italiano-540709640?lid=1001234798248#open-menu,44 Years,['Wheelchair accessible'],"Absolutely delectable! The best pizza experience I've had. A crispy, thin crust topped with premium ingredients that burst with flavor in every bite. Perfectly balanced cheese…",True,(323) 663-1178,1858 N Vermont Ave,"Los Angeles, CA 90027",$
The Kitchen,"['Restaurants', 'American Restaurants', 'Caterers']","{""rating"":""4.5"",""count"":""92""}","{'rating': 'four and half', 'count': '40'}",,,http://www.yellowpages.com/los-angeles-ca/mip/the-kitchen-465076750#open-menu,31 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","Nice work and nice product any where""",True,(323) 664-3663,4348 Fountain Ave,"Los Angeles, CA 90029",$
Rocco's Italian Kitchen,"['Restaurants', 'Pizza', 'Italian Restaurants']","{""rating"":""4.5"",""count"":""64""}","{'rating': 'four and half', 'count': '13'}",http://www.roccospizza.la,,http://www.yellowpages.com/los-angeles-ca/mip/roccos-italian-kitchen-458023002#open-menu,22 Years,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations', 'Good for families']","Went for a weekday lunch. Had a pasta entree and pizza for the table. The service, wine by the glass and food was fantastic. Can’t wait to come back""",True,(323) 655-0058,6335 Wilshire Blvd,"Los Angeles, CA 90048",$
